Column0,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,WeightedSum
0.7124,0.4148,0.7964,0.7573,0.4707,0.86,0.7666,0.9233,0.3503,0.7603,31.17
0.8003,0.2141,0.8394,0.921,0.8555,0.4458,0.7524,0.257,0.9585,0.2234,26.3
0.3704,0.2795,0.941,0.1732,0.7397,0.254,0.4092,0.2169,0.00488,0.2817,13.46
0.523,0.798,0.11206,0.04187,0.2095,0.849,0.6006,0.1124,0.1057,0.4897,15.875
0.544,0.8306,0.3057,0.91,0.01061,0.594,0.602,0.8438,0.2163,0.3691,21.75
0.806,0.1058,0.908,0.984,0.9766,0.7256,0.4893,0.4812,0.714,0.3071,27.19
0.0927,0.1608,0.2117,0.408,0.4668,0.2404,0.3218,0.010704,0.3828,0.11163,10.95
0.517,0.6855,0.4233,0.249,0.2484,0.1388,0.932,0.62,0.5664,0.3867,21.9
0.4639,0.1835,0.9526,0.632,0.729,0.01823,0.1987,0.4397,0.521,0.1324,16.62
0.551,0.583,0.522,0.0622,0.674,0.2827,0.2666,0.986,0.7983,0.4731,25.06
0.532,0.4282,0.9395,0.834,0.4631,0.7437,0.244,0.508,0.10516,0.4187,20.02
0.721,0.3948,0.676,0.759,0.475,0.793,0.988,0.1216,0.03784,0.838,24.52
0.05832,0.9805,0.1879,0.309,0.876,0.7314,0.6904,0.715,0.4456,0.5117,26.77
0.897,0.1028,0.2137,0.6025,0.647,0.3887,0.2683,0.010155,0.7334,0.989,23.31
0.3333,0.848,0.384,0.7173,0.9966,0.5806,0.8667,0.943,0.318,0.805,32.25
0.3987,0.3093,0.519,0.1658,0.3486,0.1931,0.0571,0.3225,0.6846,0.4185,16.05
0.882,0.5244,0.0448,0.652,0.4834,0.626,0.666,0.536,0.5513,0.528,24.55
0.6016,0.792,0.1665,0.5005,0.946,0.5396,0.0429,0.3281,0.777,0.9253,26.2
0.5303,0.4473,0.7383,0.5405,0.9185,0.4197,0.809,0.5093,0.9126,0.8916,33.06
0.006233,0.3696,0.4185,0.10657,0.471,0.2439,0.2993,0.2537,0.0806,0.9546,17.44
0.0895,0.977,0.4968,0.4233,0.5947,0.9736,0.8975,0.936,0.4155,0.924,34.06
0.967,0.49,0.3042,0.0741,0.3506,0.3425,0.504,0.265,0.617,0.4714,18.5
0.7646,0.2805,0.563,0.788,0.75,0.06616,0.03006,0.7915,0.699,0.4065,22.08
0.3413,0.1222,0.4585,0.4827,0.548,0.3909,0.1005,0.9478,0.826,0.693,26.72
0.1283,0.489,0.928,0.04395,0.2534,0.8496,0.5405,0.766,0.8716,0.8735,31.17
0.7607,0.2118,0.1284,0.358,0.4038,0.3909,0.5015,0.9263,0.2142,0.58,21.55
0.6743,0.5024,0.6475,0.4502,0.756,0.535,0.2394,0.2646,0.738,0.1631,19.5
0.4182,0.04837,0.8896,0.4954,0.0835,0.8794,0.5166,0.2986,0.4644,0.3489,20.1
0.7886,0.02522,0.6333,0.486,0.9126,0.683,0.526,0.601,0.686,0.2732,25.12
0.1364,0.2517,0.957,0.5264,0.578,0.7417,0.3572,0.8213,0.907,0.505,29.45
